"","bird_id","colony","wetdry_filename","depDate_comb","retDate_comb","deployment_period"
"1","BH594","Baccalieu - Ned Walsh","BH594_04Jul18_135310driftadj.deg",2017-09-20,2018-06-29,"2017-2018"
"2","BH596","Baccalieu - Ned Walsh","BH596_04Jul18_134429driftadj.deg",2017-09-20,2018-06-29,"2017-2018"
"3","BH602","Baccalieu - Ned Walsh","BH602_04Jul18_132708driftadj.deg",2017-09-20,2018-06-29,"2017-2018"
"4","BH584","Baccalieu - Ned Walsh","BH584_04Jul18_125355driftadj.deg",2017-09-20,2018-07-01,"2017-2018"
"5","BH603","Baccalieu - Ned Walsh","BH603_03Jul18_194628driftadj.deg",2017-09-19,2018-07-01,"2017-2018"
"6","BH595","Baccalieu - Ned Walsh","BH595_04Jul18_131651driftadj.deg",2017-09-19,2018-07-01,"2017-2018"
"7","BU853","Baccalieu - Ned Walsh","BU853_69W_4261-13034.deg",2019-08-27,2020-10-26,"2019-2020"
"8","BU869","Baccalieu - Ned Walsh","BU869_77W_2461-13037.deg",2019-08-27,2020-11-06,"2019-2020"
"9","BU832","Baccalieu - Ned Walsh","BU832_24Jul20_165309driftadj.deg",2019-08-27,2020-07-22,"2019-2020"
"10","BU847","Baccalieu - Ned Walsh","BU847_84W_2461-13042.deg",2019-08-27,2020-11-05,"2019-2020"
"11","BU843","Baccalieu - Ned Walsh","BU843_26Oct20_103357.deg",2019-08-27,2020-01-13,"2019-2020"
"12","BU860","Baccalieu - Ned Walsh","BU860_51W_2461-13045.deg",2019-08-28,2020-11-25,"2019-2020"
"13","BU856","Baccalieu - Ned Walsh","BU856_24Jul20_170551driftadj.deg",2019-08-28,2020-07-22,"2019-2020"
"14","BU837","Baccalieu - Ned Walsh","BU837_81W_2461-13051.deg",2019-08-28,2020-10-20,"2019-2020"
"15","BU848","Baccalieu - Ned Walsh","BU848_09Aug20_234030driftadj.deg",2019-08-28,2020-07-28,"2019-2020"
"16","BU831","Baccalieu - Ned Walsh","BU831_24Jul20_164026driftadj.deg",2019-08-28,2020-07-22,"2019-2020"
"17","CD447","Baccalieu - Ned Walsh","CD447_08Jul22_160021driftadj.deg",2021-08-18,2022-07-08,"2021-2022"
"18","CD511","Baccalieu - Ned Walsh","CD511_05Jul22_002528driftadj.deg",2021-08-18,2022-07-04,"2021-2022"
"19","CD472","Baccalieu - Ned Walsh","CD472_05Jul22_010112driftadj.deg",2021-08-18,2022-07-04,"2021-2022"
"20","CD474","Baccalieu - Ned Walsh","CD474_07Jul22_130729driftadj.deg",2021-08-18,2022-07-05,"2021-2022"
"21","CD448","Baccalieu - Ned Walsh","CD448_08Jul22_005237driftadj.deg",2021-08-19,2022-07-07,"2021-2022"
"22","CD441","Baccalieu - Ned Walsh","CD441_05Jul22_005402driftadj.deg",2021-08-19,2022-07-04,"2021-2022"
"23","CD500","Baccalieu - Ned Walsh","CD500_05Jul22_004700driftadj.deg",2021-08-19,2022-07-04,"2021-2022"
"24","CD473","Baccalieu - Ned Walsh","CD473_05Jul22_003222driftadj.deg",2021-08-19,2022-07-04,"2021-2022"
"25","CD491","Baccalieu - Ned Walsh","CD491_2461_13483_GLS411_NED_Walsh.deg",2021-08-17,2022-07-04,"2021-2022"
"26","CD471","Baccalieu - Ned Walsh","CD471_20Jul22_233823driftadj.deg",2021-08-17,2022-07-20,"2021-2022"
"27","CD489","Baccalieu - Ned Walsh","CD489_08Jul22_160811driftadj.deg",2021-08-18,2022-07-08,"2021-2022"
"28","CD445","Baccalieu - Ned Walsh","CD445_08Jul22_004608driftadj.deg",2021-08-18,2022-07-07,"2021-2022"
"29","CD443","Baccalieu - Ned Walsh","CD443_19Jul22_222813driftadj.deg",2021-08-18,2022-07-19,"2021-2022"
"30","CD444","Baccalieu - Ned Walsh","CD444_05Jul22_004040driftadj.deg",2021-08-18,2022-07-04,"2021-2022"
"31","CD505","Baccalieu - Ned Walsh","CD505_07Jul22_124843driftadj.deg",2021-08-18,2022-07-06,"2021-2022"
"32","CD494","Baccalieu - Ned Walsh","CD494_04Jul22_235146driftadj.deg",2021-08-18,2022-07-04,"2021-2022"
"33","CD453","Baccalieu - Ned Walsh","CD453_20Jul22_235018driftadj.deg",2021-08-18,2022-07-20,"2021-2022"
"34","CD509","Baccalieu - Ned Walsh","CD509_20Jul22_234326driftadj.deg",2021-08-18,2022-07-20,"2021-2022"
"35","CD510","Baccalieu - Ned Walsh","CD510_07Jul22_125502driftadj.deg",2021-08-18,2022-07-06,"2021-2022"
"36","CD499","Baccalieu - Ned Walsh","CD499_07Jul22_130122driftadj.deg",2021-08-18,2022-07-05,"2021-2022"
"37","CH722","Baccalieu - Ned Walsh","CH722_07Jul23_000058driftadj.deg",2022-08-19,2023-07-06,"2022-2023"
"38","CH723","Baccalieu - Ned Walsh","CH723_29Jul23_000751driftadj.deg",2022-08-19,2023-07-25,"2022-2023"
"39","CH736","Baccalieu - Ned Walsh","CH736_06Jul23_235330driftadj.deg",2022-08-19,2023-07-06,"2022-2023"
"40","CH031","Baccalieu - Ned Walsh","CH031_07Jul23_000904driftadj.deg",2022-09-20,2023-07-05,"2022-2023"
"41","CH017","Baccalieu - Ned Walsh","CH017_10Jul23_200722driftadj.deg",2022-09-20,2023-07-09,"2022-2023"
"42","CH789","Baccalieu - Ned Walsh","CH789_25Nov23_220418driftadj.deg",2022-09-21,2023-05-12,"2022-2023"
"43","CH743","Baccalieu - Ned Walsh","CH743_10Jul23_194345driftadj.deg",2022-09-21,2023-07-09,"2022-2023"
"44","CN827","Baccalieu - Ned Walsh","CN827_08Jul24_203710driftadj.deg",2023-08-27,2024-07-03,"2023-2024"
"45","CN855","Baccalieu - Ned Walsh","CN855_08Jul24_200015driftadj.deg",2023-08-27,2024-04-15,"2023-2024"
"46","CN838","Baccalieu - Ned Walsh","CN838_08Jul24_194626driftadj.deg",2023-08-27,2024-07-06,"2023-2024"
"47","CN826","Baccalieu - Ned Walsh","CN826_08Jul24_203239driftadj.deg",2023-08-27,2024-07-03,"2023-2024"
"48","CN861","Baccalieu - Ned Walsh","CN861_08Jul24_195237driftadj.deg",2023-08-27,2024-07-04,"2023-2024"
"49","CN833","Baccalieu - Ned Walsh","CN833_08Jul24_202851driftadj.deg",2023-08-27,2024-07-03,"2023-2024"
"50","CN852","Baccalieu - Ned Walsh","CN852_08Jul24_161239driftadj.deg",2023-08-27,2024-07-07,"2023-2024"
"51","CN849","Baccalieu - Ned Walsh","CN849_08Jul24_201226driftadj.deg",2023-08-27,2024-07-03,"2023-2024"
"52","CN834","Baccalieu - Ned Walsh","CN834_08Jul24_202037driftadj.deg",2023-08-27,2024-05-03,"2023-2024"
"53","CN863","Baccalieu - Ned Walsh","CN863_08Jul24_155058driftadj.deg",2023-08-27,2024-07-07,"2023-2024"
"54","CN857","Baccalieu - Ned Walsh","CN857_08Jul24_200721driftadj.deg",2023-08-27,2024-07-03,"2023-2024"
"55","CN824","Baccalieu - Ned Walsh","CN824_08Jul24_193935driftadj.deg",2023-08-28,2024-07-06,"2023-2024"
"56","BQ056","Bon Portage","BQ056_16Jul19_192708driftadj.deg",2018-09-06,2019-06-29,"2018-2019"
"57","BQ066","Bon Portage","BQ066_08Aug19_183341driftadj.deg",2018-09-06,2019-06-28,"2018-2019"
"58","BQ070","Bon Portage","BQ070_08Aug19_181211driftadj.deg",2018-09-13,2019-06-28,"2018-2019"
"59","BQ065","Bon Portage","BQ065_08Aug19_184409driftadj.deg",2018-09-13,2019-06-29,"2018-2019"
"60","BQ059","Bon Portage","BQ059_08Aug19_185745driftadj.deg",2018-09-14,2019-06-29,"2018-2019"
"61","BU786","Bon Portage","BU786_10Aug20_145254driftadj.deg",2019-08-26,2020-07-08,"2019-2020"
